duree_retard_minutes,nb_retards_mois_precedent,est_debut_semaine,charge_travail_equipe_jour,action
62.0,0,1,0.59,0
44.28333333333333,1,0,0.61,0
10.033333333333335,2,0,0.55,1
3.6999999999999993,3,0,0.35,1
37.1,4,1,0.48,0
13.95,5,0,0.86,0
21.716666666666665,6,0,0.9,0
2.866666666666667,7,0,0.85,1
7.883333333333333,8,0,0.42,1
10.100000000000001,9,0,0.47,0
3.883333333333333,10,0,0.77,1
3.8000000000000007,11,0,0.66,1
3.0999999999999996,12,0,0.31,1
8.033333333333335,13,0,0.6,1
20.366666666666667,14,0,0.51,0
16.4,15,0,0.54,1
6.550000000000001,16,0,0.54,1
39.05,17,0,0.35,0
45.28333333333333,18,0,0.37,0
18.683333333333334,19,0,0.82,1
9.45,20,1,0.62,1
7.816666666666666,21,0,0.34,1
327.28333333333336,22,0,0.81,0
4.85,23,1,0.46,1
2.5666666666666664,24,0,0.62,1
6.583333333333332,25,0,0.55,1
28.950000000000003,26,0,0.83,0
17.783333333333335,27,0,0.86,0
14.149999999999999,28,0,0.6,0
8.216666666666665,29,0,0.59,1
67.25,30,1,0.68,0
29.883333333333333,31,0,0.37,1
29.9,32,0,0.82,1
6.483333333333334,33,0,0.63,1
23.016666666666666,34,0,0.73,0
13.483333333333334,35,0,0.45,0
323.9166666666667,36,0,0.32,0
8.05,37,0,0.64,1
2.7333333333333325,38,1,0.78,1
3.2666666666666675,39,0,0.35,1
99.95,40,0,0.77,0
547.5333333333333,41,1,0.86,0
3.5166666666666675,42,0,0.5,1
3.966666666666667,43,0,0.71,1
3.1999999999999993,44,0,0.7,1
538.5833333333334,45,0,0.64,0
2.083333333333334,46,0,0.87,1
14.883333333333333,47,1,0.74,0
9.216666666666665,48,1,0.48,1
0.6666666666666661,49,0,0.51,1
38.016666666666666,50,1,0.58,0
30.266666666666666,51,0,0.89,0
6.816666666666666,52,0,0.7,1
140.13333333333333,53,0,0.84,0
11.633333333333333,54,0,0.34,0
0.2333333333333325,55,1,0.83,1
51.71666666666667,56,0,0.7,0
20.55,57,1,0.89,0
29.233333333333334,58,0,0.47,1
29.0,59,0,0.86,1
30.700000000000003,60,0,0.61,0
27.200000000000003,61,1,0.44,1
42.916666666666664,62,0,0.82,0
329.53333333333336,63,0,0.35,0
27.53333333333333,64,0,0.85,0
25.15,65,0,0.54,1
43.61666666666667,66,1,0.67,0
582.0,67,1,0.89,0
334.0,68,0,0.41,0
